gameId,goldDiff,expDiff,champLevelDiff,isFirstTower,isFirstBlood,killedFireDrake,killedWaterDrake,killedAirDrake,killedEarthDrake,lostFireDrake,lostWaterDrake,lostAirDrake,lostEarthDrake,killedRiftHerald,lostRiftHerald,destroyedTopInnerTurret,destroyedMidInnerTurret,destroyedBotInnerTurret,lostTopInnerTurret,lostMidInnerTurret,lostBotInnerTurret,destroyedTopOuterTurret,destroyedMidOuterTurret,destroyedBotOuterTurret,lostTopOuterTurret,lostMidOuterTurret,lostBotOuterTurret,kills,deaths,assists,wardsPlaced,wardsDestroyed,wardsLost,hasWon
4545317402,-1028,-739,-0.2000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,10,2,2,0
4399602847,2929,2089,0.2000000000000001,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,60,3,3,0
4531319434,-3434,-2636,-0.3999999999999994,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11,6,17,2,6,0
4453253270,-2965,-1401,-0.4000000000000004,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,14,0,1,0
4428299596,-1426,-1756,-0.4000000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,10,0,2,0
4399747736,277,165,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,22,7,4,0
4451674885,4530,2938,0.7999999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,18,48,4,2,1
4444124892,-3761,-3212,-0.6000000000000005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6,17,2,4,0
4471088546,-775,-424,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,12,4,1,0
4539541821,-1410,-427,-0.2000000000000001,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,4,3,13,1,3,0
4473093665,-426,-2351,-0.6000000000000005,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,2,2,0
4535934475,227,66,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,18,2,2,0
4536143368,-2583,-500,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,12,3,2,0
4545988176,1729,-146,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,17,3,1,1
4545985097,-1396,-1538,-0.5999999999999996,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,15,3,2,1
4463536993,-1769,-3225,-0.8000000000000007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,15,3,2,0
4547461507,-55,-289,0.2000000000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,19,2,2,1
4546178653,197,-99,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,11,3,0,1
4539558087,-845,-1553,-0.4000000000000004,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,33,1,0,1
4546364331,9,888,-0.2000000000000001,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,17,1,2,0
4539902865,-241,114,-0.2000000000000001,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,12,2,3,0
4543792261,-539,283,-0.2000000000000001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,16,0,0,1
4442455507,-198,1110,0.2000000000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,10,2,2,1
4541726525,-3261,-1855,-0.6000000000000005,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,15,3,2,0
4527742483,-141,26,0.2000000000000001,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,15,2,0,0
4543508515,-531,-78,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,37,1,2,0
4535850357,2907,2005,0.4000000000000004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,16,106,3,1,1
